instance,solution
100_20_01,1841685.0
100_20_02,1853325.0
100_20_03,1717051.0
100_20_04,2001547.0
100_20_05,1605878.0
100_20_06,1717737.0
100_20_07,1841406.0
100_20_08,1803533.0
100_20_09,1893956.8
100_20_10,1726368.0
100_20_11,1882893.0
100_20_12,1768318.0
100_20_13,1763725.0
100_20_14,1770530.0
100_20_15,1500577.0
100_20_16,1886855.0
100_20_17,1840702.0
100_20_18,1873291.0
100_20_19,1759250.0
100_20_20,1855337.0
100_20_21,1786989.0
100_20_22,1794554.0
100_20_23,1839433.0
100_20_24,1722336.0
100_20_25,1770067.0
100_20_26,1619887.6
100_20_27,1928315.0
100_20_28,1783342.0
100_20_29,2059206.0
100_20_30,1828343.0
50_20_01,616002.0
50_20_02,638287.0
50_20_03,613349.0
50_20_04,691747.0
50_20_05,675712.0
50_20_06,665682.0
50_20_07,582314.0
50_20_08,539980.0
50_20_09,594102.0
50_20_10,613450.0
50_20_11,618902.0
50_20_12,599759.0
50_20_13,565246.0
50_20_14,587634.0
50_20_15,609502.0
50_20_16,564236.0
50_20_17,658853.0
50_20_18,645792.0
50_20_19,474614.0
50_20_20,583618.0
50_20_21,644476.0
50_20_22,661875.0
50_20_23,612961.0
50_20_24,570600.0
50_20_25,604263.0
50_20_26,616226.0
50_20_27,579455.0
50_20_28,565197.0
50_20_29,565640.0
50_20_30,525470.0
