"Instance","Percentage deviation"
"100_20_01","1.62622830071815"
"100_20_02","1.49152242828581"
"100_20_03","0.695823511203181"
"100_20_04","2.01530244715665"
"100_20_05","2.39657200033786"
"100_20_06","2.3986558508428"
"100_20_07","1.62142432635485"
"100_20_08","1.95706965636346"
"100_20_09","0.697750758565587"
"100_20_10","1.68695295981495"
"100_20_11","2.37526840279689"
"100_20_12","1.14933221158902"
"100_20_13","2.25661624329326"
"100_20_14","1.85971275631088"
"100_20_15","2.20378983397049"
"100_20_16","2.21853279345213"
"100_20_17","1.49667257334121"
"100_20_18","1.17329400606356"
"100_20_19","2.16720076862942"
"100_20_20","1.35981840079478"
"100_20_21","2.27656337764463"
"100_20_22","1.73092830882353"
"100_20_23","2.53405381064956"
"100_20_24","1.8298958413338"
"100_20_25","1.88575096277279"
"100_20_26","2.30085828139369"
"100_20_27","2.274004382008"
"100_20_28","2.18080446037435"
"100_20_29","2.31823634821281"
"100_20_30","1.35371233302268"
