time,solution
0.658318,616002
0.741296,615427
1.1085669999999999,615158
1.695386,614766
2.2072979999999998,613648
3.138487,613349
4.387346,612747
5.120138,612317
6.318248,611943
7.547798,611941
8.938958000000001,611738
10.260086000000001,611452
11.690542,608689
140.47598,608276
141.056404,608172
141.553818,608055
142.009794,607636
142.236523,605367
144.153625,605262
145.929248,605220
147.664051,605176
172.611459,604548
174.049722,604011
175.574038,603860
177.104452,603702
178.680838,603332
180.284671,603031
182.045407,603021
183.961927,602993
185.794027,602919
187.758778,602780
694.367286,602710
696.1876830000001,602675
697.936092,602555
699.7285220000001,602478
701.5094600000001,602462
703.2684780000001,602365
705.1909870000001,602351
707.0256290000001,602238
709.020512,602196
710.9657430000001,602077
712.929704,602075
714.8718600000001,602073
716.9486430000001,602023
